class,id,high,weight,shangbiweisongjincha,xiongwei,huxicha,jiaowei,tunwei,jiankuan,gupenkuan,tizhong,tizhilv,jibenxinlv,xingongzhishu,maiyacha,feihuoliang,zuidasheyangliang,pingjunwoli,beijili,1minyangwoqizuo,lidingtiaoyuan,fuwocheng,xanzefanyingshi,50m,shizibianxiangpao,wangfanpao,fanfuhengkua,congcha,hengcha,zuoweitiqianqu,zhuanjian,litizhuanti,bimudanzu,1minpaowangqiu
3,91,0.009572431,0.00968523,0.086956522,0.009937888,0.112903226,0.004316547,0.001168224,0.011363636,0.015209125,0.007736944,0,-0.016393443,-0.079545455,0,0.137662338,0.03565365,0.090705041,0.044585987,0.03125,0.071005917,1,-0.052631579,-0.032258065,-0.055214724,-0.050359712,0.128205128,0,0,0.028409091,0.029880478,-0.012618297,0.433333333,0.11971831
3,92,0.009357455,0.009101251,0.0625,0.009378664,0.094594595,0.004065041,0.003389831,0.011173184,0.014134276,-0.001858736,-0.047619048,-0.014285714,-0.065420561,0,0.090289608,0.037668161,0.070506995,0.048929664,0.033333333,0.074074074,0.75,-0.037735849,-0.035294118,-0.058441558,-0.055555556,0.206896552,-0.076923077,-0.054216867,0.046728972,0.013490725,-0.016736402,0.352941176,0.125925926
3,93,0.00990099,0.009815951,-0.029411765,0.010349288,0.122807018,0.004594181,0.003649635,0.026785714,0.016326531,0.008658009,0,-0.014084507,-0.063063063,0,0.137092602,0.038391225,0.07422328,0.058823529,0.03030303,0.069767442,0.090909091,-0.058823529,-0.031578947,-0.056603774,-0.028985507,0.125,-0.045685279,-0.035573123,0.138888889,0.01242236,-0.0078125,0.333333333,0.130769231
3,94,0.01010101,0.010269576,0.090909091,0.010899183,0.152542373,0.004823151,0.006273526,0.012195122,0.015748031,0.008474576,0,-0.014925373,-0.067307692,0,0.128953771,0.03565365,0.094834454,0.054888508,0.037037037,0.071856287,0.5,-0.056603774,-0.03125,-0.051136364,-0.03649635,0.161290323,-0.042056075,-0.032846715,0.263157895,0.011887073,-0.012820513,0.636363636,0.11971831
3,95,0.009791123,0.009803922,0.083333333,0.010037641,0.131147541,0.00462963,0.003636364,0.011695906,0.015209125,0.008080808,0,-0.01369863,-0.059322034,0,0.116483516,0.032735776,0.110901232,0.061895551,0.03125,0.069767442,0.090909091,-0.054545455,-0.032258065,-0.056962025,-0.044444444,0.147058824,-0.06122449,-0.043269231,0.056818182,0.013937282,-0.014981273,0.387096774,0.128787879
3,96,0.010438413,0.010471204,0.133333333,0.010217114,0.14893617,0,0.003807107,0.012779553,0.019230769,0.00982801,0,-0.029411765,-0.066037736,0,0.13022113,0.040737148,0.117057173,0.065979381,0.03030303,0.076433121,0,-0.056603774,-0.030927835,-0.051724138,-0.048275862,0.1,-0.054216867,-0.039823009,0.030769231,0.011379801,-0.012779553,0.461538462,0.11409396
3,97,0.009463722,0.009122007,0.090909091,0.009478673,0.097222222,0.004043127,0.003504673,0.01183432,0.01459854,0.007920792,0,-0.013888889,-0.059322034,-0.026315789,0.12406367,0.053083923,0.07240223,0.056537102,0.032258065,0.044692737,0.222222222,-0.055555556,-0.033707865,-0.058823529,-0.052631579,0.135135135,-0.049180328,-0.041474654,0.108695652,0.010869565,-0.014492754,0.387096774,0.081761006
3,98,0.010094213,0.00996264,0.074074074,0.010457516,0.116666667,0.004398827,0.003550296,0.021472393,0.016806723,0.008908686,0,-0.038961039,-0.054263566,0,0.136246787,0.039923954,0.097187336,0.05360134,0.037037037,0.071005917,0,-0.057692308,-0.03125,-0.053892216,-0.05,0.138888889,-0.072,-0.049450549,0.053763441,0.014869888,-0.013888889,0.4,0.114864865
3,99,0.009590793,0.009367681,0.076923077,0.00996264,0.112903226,0.004255319,0.003389831,0.023809524,0.02734375,0.008196721,0,-0.015384615,-0.073684211,0,0.107070707,0.037316748,0.090733987,0.04368932,0.038461538,0.071428571,0.428571429,-0.055555556,-0.033333333,-0.057324841,-0.051851852,0.111111111,-0.035433071,-0.03030303,-0.135135135,0.010322581,-0.014336918,0.444444444,0.111111111
3,100,0.009836066,0.009815951,0.176470588,0.010680908,0.122807018,0.004651163,0.003597122,0.011976048,0.016064257,0.008421053,0,-0.014492754,-0.066037736,0,0.139694254,0.036971831,0.086379699,0.054794521,0.034482759,0.068181818,0.083333333,-0.054545455,-0.031578947,-0.054545455,-0.04964539,0.12195122,-0.049450549,-0.036290323,0.089285714,0.012345679,-0.014336918,0.428571429,0.114864865
